"start","end","date","dev_id","seca_geopoint","seca_geopoint_latitude","seca_geopoint_longitude","seca_geopoint_altitude","seca_geopoint_precision","seca_geopoint_wkt","enumerator","seca_S_id","secc_comments","_id","uuid","__version__","instanceID","_xform_id_string","_uuid","_status","_submission_time","_validation_status","_submitted_by"
2024-04-28 09:58:00.568,2024-04-29 21:16:31.561,2024-04-28,"collect:Ko3jwT6G31vuAcKR","0.9647963 36.6853751 1814.2843827491745 4.804",0.9647963,36.6853751,1814.28438274917,4.804,"POINT (36.6853751 0.9647963 1814.2843827491745)","2","DST030001","The traps caught two Mus musculus",334431762,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:397395dd-a456-4d5c-9f66-b19235e304fd","aQ3jcAKsRKtSu58omt4YyF","397395dd-a456-4d5c-9f66-b19235e304fd","submitted_via_web",2024-04-29 21:16:42,,"dtra_nk"
2024-04-29 11:17:19.464,2024-04-30 13:25:52.153,2024-04-29,"collect:W7gdBJ4Ypb4GvukP","0.9304817 36.6942315 1787.0571244504945 4.92",0.9304817,36.6942315,1787.05712445049,4.92,"POINT (36.6942315 0.9304817 1787.0571244504945)","2","DST030004","No comment",334638868,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:d60bb234-a5f2-4d73-be2c-dae295844652","aQ3jcAKsRKtSu58omt4YyF","d60bb234-a5f2-4d73-be2c-dae295844652","submitted_via_web",2024-04-30 13:27:05,,"dtra_nk"
2024-04-30 08:22:23.908,2024-05-01 01:53:13.346,2024-04-30,"collect:Ko3jwT6G31vuAcKR","0.9451266 36.7481345 1786.757540841057 4.378",0.9451266,36.7481345,1786.75754084106,4.378,"POINT (36.7481345 0.9451266 1786.757540841057)","2","DST030004",,334813046,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:8af098c4-c750-45bf-b6e5-c897a8b5f5b4","aQ3jcAKsRKtSu58omt4YyF","8af098c4-c750-45bf-b6e5-c897a8b5f5b4","submitted_via_web",2024-05-01 01:53:41,,"dtra_nk"
2024-04-30 08:18:58.82,2024-05-01 01:52:25.994,2024-04-30,"collect:Ko3jwT6G31vuAcKR","0.945139 36.7481609 1787.251849085098 4.831",0.945139,36.7481609,1787.2518490851,4.831,"POINT (36.7481609 0.945139 1787.251849085098)","2","DST030005","No comment",334813047,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:72be017a-703f-484d-b5a4-8a86b7e7a06b","aQ3jcAKsRKtSu58omt4YyF","72be017a-703f-484d-b5a4-8a86b7e7a06b","submitted_via_web",2024-05-01 01:53:42,,"dtra_nk"
2024-06-08 09:59:15.541,2024-06-08 17:53:27.001,2024-06-08,"collect:Ko3jwT6G31vuAcKR","1.2949281 36.8954691 1250.8320389005055 3.9",1.2949281,36.8954691,1250.83203890051,3.9,"POINT (36.8954691 1.2949281 1250.8320389005055)","2","DST030013","No comment",347256132,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:3f490bdb-6cf2-4022-9154-e485fe0c8151","aQ3jcAKsRKtSu58omt4YyF","3f490bdb-6cf2-4022-9154-e485fe0c8151","submitted_via_web",2024-06-08 17:53:31,,"dtra_nk"
2024-06-09 09:47:31.037,2024-06-09 17:17:40.565,2024-06-09,"collect:Ko3jwT6G31vuAcKR","1.294874 36.8956439 1250.0855611724728 4.512",1.294874,36.8956439,1250.08556117247,4.512,"POINT (36.8956439 1.294874 1250.0855611724728)","2","DST030013","No comment",347465320,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:72217783-5b4a-4563-b4e7-01da14c7b509","aQ3jcAKsRKtSu58omt4YyF","72217783-5b4a-4563-b4e7-01da14c7b509","submitted_via_web",2024-06-09 17:31:18,,"dtra_nk"
2024-06-09 10:01:57.866,2024-06-09 17:18:11.823,2024-06-09,"collect:Ko3jwT6G31vuAcKR","1.2891393 36.8974857 1252.1778434701466 4.865",1.2891393,36.8974857,1252.17784347015,4.865,"POINT (36.8974857 1.2891393 1252.1778434701466)","2","DST030014","No comment",347465322,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:68665ee1-d143-4de6-8aeb-95f2e59ad21f","aQ3jcAKsRKtSu58omt4YyF","68665ee1-d143-4de6-8aeb-95f2e59ad21f","submitted_via_web",2024-06-09 17:31:19,,"dtra_nk"
2024-06-09 09:51:03.812,2024-06-09 17:32:32.52,2024-06-09,"collect:Ko3jwT6G31vuAcKR","1.2948845 36.8956503 1251.8425552541025 3.9",1.2948845,36.8956503,1251.8425552541,3.9,"POINT (36.8956503 1.2948845 1251.8425552541025)","2","DST030013",,347471809,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:1ef55770-b5e5-4547-ac58-27cf5e3eef86","aQ3jcAKsRKtSu58omt4YyF","1ef55770-b5e5-4547-ac58-27cf5e3eef86","submitted_via_web",2024-06-09 18:06:18,,"dtra_nk"
2024-06-10 04:52:20.262,2024-06-10 17:58:46.854,2024-06-10,"collect:Ko3jwT6G31vuAcKR","1.2986231 36.8895417 1224.2725506819484 4.8",1.2986231,36.8895417,1224.27255068195,4.8,"POINT (36.8895417 1.2986231 1224.2725506819484)","2","DST030017","No comment",347815600,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:c6659226-4fd6-4f57-b1ff-19339d7384b5","aQ3jcAKsRKtSu58omt4YyF","c6659226-4fd6-4f57-b1ff-19339d7384b5","submitted_via_web",2024-06-10 18:01:23,,"dtra_nk"
2024-06-10 04:59:43.918,2024-06-10 18:00:27.425,2024-06-10,"collect:Ko3jwT6G31vuAcKR","1.2986454 36.8902562 1222.7622232014294 4.735",1.2986454,36.8902562,1222.76222320143,4.735,"POINT (36.8902562 1.2986454 1222.7622232014294)","2","DST030017",,347815605,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:f81fe448-95e4-4dfb-a346-9c7227bba4ed","aQ3jcAKsRKtSu58omt4YyF","f81fe448-95e4-4dfb-a346-9c7227bba4ed","submitted_via_web",2024-06-10 18:01:23,,"dtra_nk"
2024-06-10 08:18:58.515,2024-06-10 17:59:50.607,2024-06-10,"collect:Ko3jwT6G31vuAcKR","1.2877129 36.9027138 1268.2371411231104 4.95",1.2877129,36.9027138,1268.23714112311,4.95,"POINT (36.9027138 1.2877129 1268.2371411231104)","2","DST030018","No comment",347815609,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:cb6997bb-08ab-409a-b53e-bf4c94e596fa","aQ3jcAKsRKtSu58omt4YyF","cb6997bb-08ab-409a-b53e-bf4c94e596fa","submitted_via_web",2024-06-10 18:01:25,,"dtra_nk"
2024-06-10 08:29:30.618,2024-06-10 18:00:12.25,2024-06-10,"collect:Ko3jwT6G31vuAcKR","1.2881702 36.902825 1266.2821169363199 4.322",1.2881702,36.902825,1266.28211693632,4.322,"POINT (36.902825 1.2881702 1266.2821169363199)","2","DST030018","No comment",347815610,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:8ca0a93d-c81b-4745-bb0f-d95616de9fb3","aQ3jcAKsRKtSu58omt4YyF","8ca0a93d-c81b-4745-bb0f-d95616de9fb3","submitted_via_web",2024-06-10 18:01:25,,"dtra_nk"
2024-06-10 08:42:57.308,2024-06-10 18:00:47.286,2024-06-10,"collect:Ko3jwT6G31vuAcKR","1.2961051 36.9046118 1289.5326672769993 4.874",1.2961051,36.9046118,1289.532667277,4.874,"POINT (36.9046118 1.2961051 1289.5326672769993)","2","DST030015","No comment",347815612,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:45dd4c9d-ca77-46c1-a89f-9c83e53b8a28","aQ3jcAKsRKtSu58omt4YyF","45dd4c9d-ca77-46c1-a89f-9c83e53b8a28","submitted_via_web",2024-06-10 18:01:26,,"dtra_nk"
2024-06-10 09:07:46.756,2024-06-10 18:01:12.874,2024-06-10,"collect:Ko3jwT6G31vuAcKR","1.2919131 36.9056526 1286.8241679705502 4.131",1.2919131,36.9056526,1286.82416797055,4.131,"POINT (36.9056526 1.2919131 1286.8241679705502)","2","DST030016",,347815616,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:bedfd410-dacc-4302-9e04-b09fb28e7d44","aQ3jcAKsRKtSu58omt4YyF","bedfd410-dacc-4302-9e04-b09fb28e7d44","submitted_via_web",2024-06-10 18:01:26,,"dtra_nk"
2024-06-12 03:58:01.774,2024-06-12 17:26:45.254,2024-06-12,"collect:Ko3jwT6G31vuAcKR","1.3476853 37.1951351 1163.5849630334974 4.737",1.3476853,37.1951351,1163.5849630335,4.737,"POINT (37.1951351 1.3476853 1163.5849630334974)","2","DST030019",,348605856,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:a65e9e15-19a4-42c9-8e1e-8f3efe1a888f","aQ3jcAKsRKtSu58omt4YyF","a65e9e15-19a4-42c9-8e1e-8f3efe1a888f","submitted_via_web",2024-06-12 17:31:48,,"dtra_nk"
2024-06-12 03:45:20.571,2024-06-12 17:26:22.343,2024-06-12,"collect:Ko3jwT6G31vuAcKR","1.3477218 37.1955791 1161.8515760584219 4.719",1.3477218,37.1955791,1161.85157605842,4.719,"POINT (37.1955791 1.3477218 1161.8515760584219)","2","DST030019",,348605860,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:d8e94c11-ea11-4898-9d66-22886abdfcb3","aQ3jcAKsRKtSu58omt4YyF","d8e94c11-ea11-4898-9d66-22886abdfcb3","submitted_via_web",2024-06-12 17:31:48,,"dtra_nk"
2024-06-13 03:53:04.259,2024-06-13 18:23:26.51,2024-06-13,"collect:Ko3jwT6G31vuAcKR","1.3479295 37.1969252 1147.0347368092912 4.933",1.3479295,37.1969252,1147.03473680929,4.933,"POINT (37.1969252 1.3479295 1147.0347368092912)","2","DST000021","Avian mist net booking",349036559,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:7a579ec5-42d3-4502-9c82-c4e12841bf21","aQ3jcAKsRKtSu58omt4YyF","7a579ec5-42d3-4502-9c82-c4e12841bf21","submitted_via_web",2024-06-13 18:26:09,,"dtra_nk"
2024-06-14 04:08:00.495,2024-06-14 18:07:31.738,2024-06-14,"collect:Ko3jwT6G31vuAcKR","1.333403 37.2004998 1192.4073605344158 3.9",1.333403,37.2004998,1192.40736053442,3.9,"POINT (37.2004998 1.333403 1192.4073605344158)","2","DST030023","Avian",349399873,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:a6a14dcf-c739-4ca9-bd61-4ad9ef3c7b66","aQ3jcAKsRKtSu58omt4YyF","a6a14dcf-c739-4ca9-bd61-4ad9ef3c7b66","submitted_via_web",2024-06-14 18:17:01,,"dtra_nk"
2024-06-14 07:04:40.422,2024-06-14 17:50:32.464,2024-06-14,"collect:Ko3jwT6G31vuAcKR","1.3211084 37.1974048 1288.75298942943 4.572",1.3211084,37.1974048,1288.75298942943,4.572,"POINT (37.1974048 1.3211084 1288.75298942943)","2","DST030024",,349399908,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:520db321-0e08-45a3-986e-be63560bb867","aQ3jcAKsRKtSu58omt4YyF","520db321-0e08-45a3-986e-be63560bb867","submitted_via_web",2024-06-14 18:17:11,,"dtra_nk"
2024-06-13 05:28:01.37,2024-06-14 18:35:34.417,2024-06-13,"collect:Ko3jwT6G31vuAcKR","1.331859 37.2008098 1203.9111703676745 4.059",1.331859,37.2008098,1203.91117036767,4.059,"POINT (37.2008098 1.331859 1203.9111703676745)","2","DST030021",,349404710,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:196f8c24-e2a3-41c9-851b-93aa585ee035","aQ3jcAKsRKtSu58omt4YyF","196f8c24-e2a3-41c9-851b-93aa585ee035","submitted_via_web",2024-06-14 18:35:40,,"dtra_nk"
2024-06-13 06:32:16.921,2024-06-14 18:34:39.495,2024-06-13,"collect:Ko3jwT6G31vuAcKR","1.3315413 37.1999748 1188.1569611249167 4.493",1.3315413,37.1999748,1188.15696112492,4.493,"POINT (37.1999748 1.3315413 1188.1569611249167)","2","DST030022",,349404712,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:05f9a058-f5bf-4e19-aea3-dc1f9f80bfed","aQ3jcAKsRKtSu58omt4YyF","05f9a058-f5bf-4e19-aea3-dc1f9f80bfed","submitted_via_web",2024-06-14 18:35:41,,"dtra_nk"
2024-06-14 06:42:54.386,2024-06-14 18:26:14.418,2024-06-14,"collect:Ko3jwT6G31vuAcKR","1.3218088 37.1976069 1274.5672038260063 4.485",1.3218088,37.1976069,1274.56720382601,4.485,"POINT (37.1976069 1.3218088 1274.5672038260063)","2","DST030024",,349405033,"e974795eb46249b38377d1ec3e9eac91","v54QkAiLBhT3RgBfZkxJNb","uuid:bc3eb4f6-86c8-4ed7-a17c-a42f32da095c","aQ3jcAKsRKtSu58omt4YyF","bc3eb4f6-86c8-4ed7-a17c-a42f32da095c","submitted_via_web",2024-06-14 18:36:51,,"dtra_nk"
